n¡ shot	Emp energy inside the chamber (J)
4	2,22E-07
5	2,35E-08
6	7,82E-09
7	1,07E-07
8	1,07E-07
9	1,81E-07
10	1,02E-07
11	1,18E-07
12	1,07E-07
13	8,02E-08
15	1,13E-07
16	5,32E-08
17	4,52E-08
18	1,51E-08
19	3,82E-08
20	1,60E-08
21	1,22E-07
34	3,79E-08
36	1,07E-07
37	4,06E-08
38	9,19E-08
41	7,59E-08
42	9,25E-08
47	3,49E-08
49	6,99E-09
52	7,03E-08
53	4,84E-08
60	4,09E-08
61	1,02E-08
66	1,71E-09
67	2,01E-09
69	6,50E-07
70	8,29E-07
71	1,25E-06
72	9,62E-07
74	5,77E-07
75	4,11E-07
77	3,83E-07
78	3,32E-07
79	5,08E-07
80	3,05E-07
82	3,10E-08
83	6,50E-07
84	5,74E-07
85	4,28E-07
86	2,43E-07
87	8,41E-07
88	3,98E-07
89	5,60E-07
91	1,03E-06
92	7,97E-07
93	6,51E-07
94	5,56E-07
95	1,19E-06
96	3,81E-07
97	5,67E-07
98	1,58E-06
99	1,54E-06
100	8,22E-07
101	6,59E-07
102	1,62E-07
103	1,33E-07
104	9,08E-07
105	5,29E-07
106	5,77E-07
107	1,85E-06
108	1,79E-06
109	1,57E-06
110	1,26E-06
111	1,48E-06
112	1,92E-06
113	1,24E-06
114	1,47E-06
115	1,46E-06
116	1,63E-06
117	1,40E-06
118	1,32E-06
119	1,26E-06
120	1,20E-06
122	1,67E-06
123	1,35E-06
124	1,11E-06
125	1,02E-06
126	1,16E-06
127	1,08E-06
128	2,04E-06
129	1,39E-06
130	1,70E-06
131	1,40E-06
132	1,19E-06
133	1,09E-06
134	1,26E-06
135	1,35E-06
136	1,00E-06
138	1,46E-06
139	1,75E-06
140	1,81E-06
141	1,55E-06
142	1,48E-06
143	1,18E-06
144	1,71E-06
145	1,18E-06
146	5,58E-07
147	1,84E-06
148	1,19E-06
149	1,79E-06
150	1,58E-06
151	1,63E-06
152	1,25E-06
153	1,19E-06
154	9,52E-07
155	1,40E-06
156	9,17E-07
157	8,90E-07
158	1,15E-06
159	1,16E-06
160	1,16E-06
161	8,98E-07
162	9,33E-07
163	1,03E-06
164	1,11E-06
165	1,13E-06
166	9,10E-07
167	1,37E-06
168	1,26E-06
169	1,59E-06
171	9,05E-07
172	5,66E-07
174	2,08E-06
175	1,11E-06
176	1,17E-06
177	9,31E-07
178	1,01E-06
179	1,11E-06
180	1,44E-06
181	1,47E-06
182	8,47E-07
183	1,37E-07
184	1,13E-06
185	1,19E-06
186	1,38E-06
187	1,51E-06
188	1,69E-06
189	1,14E-06
190	7,87E-07
191	3,11E-07
192	1,04E-06
193	8,08E-07
194	9,10E-07
195	6,97E-07
196	1,02E-06
197	5,88E-07
198	8,51E-07
199	1,06E-06
200	8,61E-07
201	1,13E-06
202	1,05E-06
203	9,33E-07
205	4,40E-07
206	1,88E-06
207	1,95E-06
208	1,81E-06
209	1,92E-06
210	1,32E-06
211	1,12E-06
212	3,07E-08
213	3,37E-08
214	3,90E-07
215	2,68E-07
216	1,28E-06
217	1,16E-06
218	1,18E-06
219	1,31E-06
220	1,25E-06
221	9,40E-07
222	7,57E-07
223	8,27E-07
224	9,04E-07
225	8,46E-07
226	7,73E-07
227	1,76E-06
228	1,35E-06
229	1,17E-06
230	1,02E-06
231	1,38E-06
232	9,94E-07
234	7,66E-07
235	8,50E-07
236	1,51E-06
237	1,93E-06
238	1,35E-06
239	1,45E-06
240	1,19E-06
241	1,40E-06
242	1,20E-06
243	4,15E-07
244	1,01E-06
245	1,06E-06
246	1,24E-06
247	1,98E-07
248	3,62E-07
249	8,47E-07
250	1,12E-06
251	6,45E-07
252	2,10E-07
253	1,30E-06
254	1,39E-06
255	1,37E-06
256	1,02E-06
257	1,21E-06
258	1,19E-06
259	1,16E-06
260	1,21E-06
261	9,36E-07
262	9,93E-07
263	9,30E-07
264	7,06E-07
265	2,70E-07
